ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
690,0.002,0.000,0.164,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/printer.py:338(_as_ordered_terms)
3723,0.001,0.000,0.001,0.000,{built-in method builtins.round}
636,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/functions/elementary/exponential.py:203(__instancecheck__)
2892,0.001,0.000,0.006,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1521(<genexpr>)
7232,0.001,0.000,0.002,0.000,{method 'add' of 'set' objects}
1446,0.001,0.000,0.004,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:2052(_make_find_query)
1905,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/exprtools.py:212(decompose_power)
1348,0.001,0.000,0.003,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/sympify.py:58(_is_numpy_instance)
1905,0.001,0.000,0.003,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:626(mpf_lt)
438,0.001,0.000,0.023,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:1303(args_cnc)
135,0.001,0.000,0.054,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_component.py:591(get_missing_properties)
1298,0.001,0.000,0.021,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/printing/precedence.py:79(precedence_Float)
1905,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:574(mpf_cmp)
2322,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/core.py:73(__cmp__)
10,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/textwrap.py:233(_wrap_chunks)
360,0.001,0.000,0.025,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/base/functor.py:30(display_asfunctor)
1170,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/thermo/volume.py:540(calculate)
1112/1108,0.001,0.000,0.009,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2198(__mul__)
2282,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:663(mpf_neg)
